Constants: Calcium
            A = 40
            Q = 20
            R = 3.76194708269
            a = 0.55
  Converged C = 0.0740085806517

node   sum(m=0)    sum(m=2)       C       rms radius
----  ----------  ----------  ----------  ----------
   1  2.7104E+00  2.7104E+00  3.52938603  0.55000000
   2  5.0775E+01  5.8593E+02  0.18840100  1.86836902
   3  1.5509E+02  5.6353E+03  0.06167905  3.31529765
   4  1.1551E+02  5.0603E+03  0.08281816  3.64039704
   5  1.3635E+02  5.7825E+03  0.07015920  3.58176975
   6  1.2757E+02  5.1821E+03  0.07498487  3.50539592
   7  1.2760E+02  5.4402E+03  0.07496704  3.59119474
   8  1.3073E+02  5.4861E+03  0.07317610  3.56298839
   9  1.2917E+02  5.3657E+03  0.07406044  3.54490587
  10  1.2849E+02  5.3906E+03  0.07444994  3.56245294
  11  1.2929E+02  5.4347E+03  0.07398785  3.56586543
  12  1.2949E+02  5.4185E+03  0.07387694  3.55788282
  13  1.2912E+02  5.3992E+03  0.07408551  3.55652872
  14  1.2901E+02  5.4054E+03  0.07415116  3.56014685
  15  1.2916E+02  5.4155E+03  0.07406088  3.56132923
  16  1.2926E+02  5.4148E+03  0.07400858  3.55981610

Constants: Iron
            A = 56
            Q = 26
            R = 4.2084486021
            a = 0.55
  Converged C = 0.0712797257803

node   sum(m=0)    sum(m=2)       C       rms radius
----  ----------  ----------  ----------  ----------
   1  2.7148E+00  2.7148E+00  4.58080273  0.55000000
   2  5.1671E+01  5.9638E+02  0.24067282  1.86852338
   3  1.9106E+02  7.0553E+03  0.06508861  3.34222479
   4  1.6312E+02  9.0168E+03  0.07623620  4.08914618
   5  1.8453E+02  8.6482E+03  0.06739040  3.76518451
   6  1.6719E+02  8.1622E+03  0.07437941  3.84286019
   7  1.7706E+02  8.8458E+03  0.07023547  3.88751941
   8  1.7579E+02  8.4809E+03  0.07074151  3.82017529
   9  1.7263E+02  8.4417E+03  0.07203722  3.84607995
  10  1.7473E+02  8.6129E+03  0.07117132  3.86146938
  11  1.7533E+02  8.5670E+03  0.07092657  3.84453164
  12  1.7423E+02  8.5015E+03  0.07137434  3.84187177
  13  1.7411E+02  8.5324E+03  0.07142320  3.85017805
  14  1.7465E+02  8.5624E+03  0.07120441  3.85102105
  15  1.7473E+02  8.5481E+03  0.07117262  3.84695099
  16  1.7447E+02  8.5313E+03  0.07127973  3.84605112

  Constants: Copper63
            A = 63
            Q = 29
            R = 4.37696292869
            a = 0.55
  Converged C = 0.0715013142541

node   sum(m=0)    sum(m=2)       C       rms radius
----  ----------  ----------  ----------  ----------
   1  2.7157E+00  2.7157E+00  5.10761734  0.55000000
   2  5.1864E+01  5.9862E+02  0.26744373  1.86855597
   3  2.0111E+02  7.4524E+03  0.06897000  3.34804423
   4  1.8863E+02  1.1213E+04  0.07353256  4.24053348
   5  2.0207E+02  9.8266E+03  0.06864225  3.83538902
   6  1.8580E+02  9.7625E+03  0.07465448  3.98676366
   7  1.9899E+02  1.0454E+04  0.06970610  3.98655147
   8  1.9407E+02  9.8804E+03  0.07147457  3.92442825
   9  1.9208E+02  9.9994E+03  0.07221195  3.96830357
  10  1.9526E+02  1.0177E+04  0.07103658  3.97072995
